Cadena,DESCRIPCION,DESCRIPTION,ID_Cat,CATEGORY,INEGI
1057,Agave,Agave,2,"Forestry, Plant-Tree breeding and Floriculture",0
1068,Aguacate,Avocado,1,Agricultural Produce,0
1019,Ajo,Garlic,1,Agricultural Produce,0
1006,Ajonjoli,Sesame,1,Agricultural Produce,0
1069,Albaricoque o chabacano,Apricot,2,"Forestry, Plant-Tree breeding and Floriculture",0
1020,Alcachofa,Artichoke,1,Agricultural Produce,0
1058,Alfalfa,Alfalfa,1,Agricultural Produce,1
1043,Algodon,Cotton,1,Agricultural Produce,0
1049,Alpiste,Birdseed,1,Agricultural Produce,0
1097,Anthurium,Anthurium,2,"Forestry, Plant-Tree breeding and Floriculture",0
1122,Arandano,Cranberry,2,"Forestry, Plant-Tree breeding and Floriculture",0
3001,Arboles de navidad,Christmas Tree,2,"Forestry, Plant-Tree breeding and Floriculture",0
1001,Arroz,Rice,1,Agricultural Produce,0
4001,Atun,Tuna,4,Fishery,0
1098,Ave del paraiso,Bird of Paradise,2,"Forestry, Plant-Tree breeding and Floriculture",0
1052,Avena,Oat,1,Agricultural Produce,0
1011,Avena forrajera,Forage Oats,1,Agricultural Produce,1
2007,Avestruz,Ostrich,3,Livestock,0
1099,Azucena,Madonna Lily,2,"Forestry, Plant-Tree breeding and Floriculture",0
1021,Brocoli,Broccoli,1,Agricultural Produce,0
1044,Cacahuate,Peanut,1,Agricultural Produce,0
1060,Cacao,Cocoa,1,Agricultural Produce,0
1061,Cafe,Coffee,1,Agricultural Produce,0
1022,Calabacita,Zucchini,1,Agricultural Produce,0
4002,Calamar,Squid,4,Fishery,0
4003,Camaron,Shrimp,4,Fishery,0
1023,Camote,Sweet Potato,1,Agricultural Produce,0
1059,Caña de azucar,Sugar Cane,2,"Forestry, Plant-Tree breeding and Floriculture",0
2001,Carne,Meat,3,Livestock,0
2003,Carne-leche(doble p),Meat-Milk,3,Livestock,0
1007,Cartamo,Safflower,1,Agricultural Produce,0
1053,Cebada,Barley,1,Agricultural Produce,0
1012,Cebada forrajera,Forage Barley,1,Agricultural Produce,0
1024,Cebolla,Onion,1,Agricultural Produce,0
1100,Cedro,Cedar,2,"Forestry, Plant-Tree breeding and Floriculture",0
3002,Celulosa y papel,Celullose and Paper,2,"Forestry, Plant-Tree breeding and Floriculture",0
1045,Cempoal,Marigold,2,"Forestry, Plant-Tree breeding and Floriculture",0
1025,Champi?on,Mushroom,1,Agricultural Produce,0
1026,Chicharo,Pea,1,Agricultural Produce,0
1027,Chile,Chili pepper,1,Agricultural Produce,1
1070,Ciruelo,Plum,2,"Forestry, Plant-Tree breeding and Floriculture",0
1101,Clavel,Carnation,2,"Forestry, Plant-Tree breeding and Floriculture",0
1028,Col o repollo,Cabbage,1,Agricultural Produce,0
4013,Corvina,Meagre,4,Fishery,0
1102,Crisantemo,Chrysanthemum,2,"Forestry, Plant-Tree breeding and Floriculture",0
1072,Durazno,Peach,2,"Forestry, Plant-Tree breeding and Floriculture",0
1029,Ejote,Green bean,1,Agricultural Produce,0
1030,Elote,Corn,1,Agricultural Produce,0
3003,Empaques y tarimas,Packaging and Pallets,2,"Forestry, Plant-Tree breeding and Floriculture",0
1062,Esparrago,Asparagus,1,Agricultural Produce,0
1130,Eucalipto,Eucalyptus,2,"Forestry, Plant-Tree breeding and Floriculture",0
1031,Fresa,Strawberry,1,Agricultural Produce,0
1002,Frijol,Bean,1,Agricultural Produce,1
1055,Garbanzo,Chickpea,1,Agricultural Produce,0
1014,Garbanzo forrajero,Forage Chickpeas,1,Agricultural Produce,0
1103,Gerbera,Gerbera daisy,2,"Forestry, Plant-Tree breeding and Floriculture",0
